L166	104.8	157.4	107.4	65.1
L167	99.5	147.1	102.6	61.6
L168	97.3	143.6	99.7	61.8
L169.2	136.5	151.6	105.6	81.5
L170	140.6	159.1	105.9	122.8
L171	98.4	145.1	101.5	62.6
L172	100.2	141.8	105.7	62.8
L173	97.3	144.3	100.7	64.3
L174	148.9	104.2	87.8	82.6
L175	109.6	159.2	108.9	67.6
L176.1	147	104.9	87.7	82.9
L176.2	147	156	102.6	77.8
L177	99.6	141.4	99.2	65.8
L178	97.4	143.1	100.3	61
L179	141.2	99.8	87.1	81.2
L180	141.6	97.1	90.2	81
L181	141.1	94.2	89.5	78.6
L182	160.4	106.7	99.8	87.3
L183.2	107.5	79.4	101.5	118.1
L184.1	81.5	62.7	77.8	124.6
L184.2	154.6	99.2	92.6	120.1
L185.2	154.9	104.9	147.4	85.5
L186	133.4	94.8	102.4	83.9
L187	140.1	99.6	90	82.7
L188	141.9	91.1	80.1	77
L189	146.1	96.8	89.6	79.9
L190	141.9	90.3	78.8	76.6
L191	134.2	90	79.2	78.2
L192	143.8	92	82.3	78.9
L193	140	92	80.7	76.1
L194	138.7	89.7	78.2	75.2
L195	147.1	96.2	79.2	79.7
L196	96.3	104.2	151	81.3
L197.2	165.9	106.7	138.1	86.1
L198	161.8	106.5	96.5	125.6
L199	157.9	108.2	96.4	87.5
L200	93.6	99.4	157.7	73.7
L201	154.4	110	170.1	84.3
L202	159.6	106	96.4	87.5
L203	150.3	96.9	94	84.3
L204	153.8	101.2	94.8	85.5
L205	160.3	109.7	96.5	87.7
L206	140.5	90.2	79.6	74.7
L207	143.2	92.9	80.9	77.3
L208	152.7	96.2	81.5	80.1
L209	147.4	97.6	79.8	77.9
L210	143.5	93	78.8	77.8
L211	150.6	98.4	96.1	83
L212	148.2	101.5	94.4	84.2
L213	159.4	106.2	98.6	88.5
L214.1	79.2	61.6	75.5	122.1
L214.2	150.1	97.9	93.2	126.5
L215	155.2	104.2	162.4	91.8
L216	158.6	102.8	95	88.4
L217	144.3	93.5	81	77.9
L218	141.2	97.1	80.2	80.7
L219	156.9	105.3	94.1	126.8
L220	160.3	107.9	98.2	93.4
L221	135.9	96.8	82.3	77.6
L222	137.8	88.6	79.9	77
L223	140.6	91.6	79.3	75.7
L224	138.6	92	81.7	79.9
L225	138.2	89.7	79.7	74.5
L226	139.3	90.9	80.9	77.2
L227	145.4	90.8	80	78.7
L228.1	147.5	93.2	89.1	128.8
L228.2	149.7	98.1	95.3	129.6
L229	159.6	108.1	98.1	86.1
L230	150.7	99.7	93.6	85.7
L231	142.6	96.1	80.7	77.5
L232	159.8	105.3	95.2	86.8
L233	144.6	93.8	80.3	80.6
L234	148.3	93.8	83.4	77.8
L235	140.1	90.7	76.6	74.5
L236	141.6	92.1	82.2	76.7
L237	141.7	92	81.8	77.1
L238	144.8	92	81.6	78.5
L239	147.4	95.7	83.2	79.3
L240.1	82.7	62.8	74.1	129.3
L240.2	152.4	100.4	95.9	120.6
L241	147	96.7	82.4	79.4
L242	163.9	104.6	99.2	89.3
L243	136.7	93.2	86.7	79.3
L244	134.8	91.3	86.6	77
L245	137.9	91	79.6	77.6
L246	152	98.7	92	82.9
L247	161.1	106	95.2	88.5
L248	147.5	95.1	82.4	79.6
L249	142.7	90.6	81.1	74.7
L250	139.7	89.5	80.6	77.2
L251	143.5	91.7	81.2	76.6
L252	137.6	89	77.1	75.8
L253	142.3	89.7	80.1	75.5
L254	141.2	92.8	79.8	78
L255	158.2	107.5	95.7	91.3
L256	157.6	105	95.4	86.6
L257	147.6	96.3	83	79.8
L258	159.3	105.8	94.9	87.2
L259	149.4	100.2	96	83.8
L260	161.5	105.5	96.2	131
L261	145	92.5	82.4	77.4
L262	145.3	96	83.1	78.5
L263	136.2	90.3	80.7	75.8
L264	152.6	101.4	97.8	82.8
L265	141.4	92.4	81.1	76.9
L266	140.6	90.5	79.4	78.9
L267	144.8	96	84.1	79.6
L268	158.7	106.4	99.6	85.8
L269	163.2	108.5	96.4	128.8
L270	150.9	104.6	93.1	82.6
L271	140.9	90.2	79.7	77.6
L272	140.1	92.2	76.4	78.1
L273	143.2	89.2	77.9	77.5
L274	137	91.4	77.6	78
L275	149.8	94.3	85.1	79
L276	159.9	107.1	102	85.2
L277	160.1	106.3	97.9	83.2
L278.1	166.3	108.1	99.3	84.8
L278.2	155.3	106.6	177.2	78.8
L279	81.7	58.1	76.3	126.3
L280	148	95.5	81.9	80.6
L281	138.8	91.1	80.8	76.4
L282	152.2	98.7	93.6	83.8
L283	152.4	102	93.2	129.8
L284	144.4	93.6	81.5	80
L285	144.3	93.5	79.4	78.8
L286	139.9	89.7	78.2	79.2
L287	127.2	91.2	76.5	72.9
